City,Country,Latitude,Longitude,Wind Speed (mph),Temperature (Fahrenheit),Humidity,Visibility,Pressure
georgetown,MY,5.41,100.34,5.57,80.11,94,20,1010
kapaa,US,22.08,-159.32,17.22,78.53,69,75,1022
rikitea,PF,-23.12,-134.97,15.14,73.89,73,100,1016
bilma,NE,18.69,12.92,14.36,84.92,12,0,1009
barrow,US,71.29,-156.79,9.17,12.2,85,1,1025
issia,CI,6.49,-6.59,2.91,75.31,91,100,1011
mahebourg,MU,-20.41,57.7,8.05,75.2,88,40,1017
westport,US,41.14,-73.36,6.93,65.86,63,1,1003
poya,NC,-21.35,165.15,10.89,75.6,82,100,1013
atuona,PF,-9.8,-139.03,18.12,81.86,74,6,1011
vaini,TO,-21.2,-175.2,8.05,82.4,74,40,1014
hithadhoo,MV,-0.6,73.08,18.86,84.87,74,100,1009
jamestown,US,42.1,-79.24,5.82,60.8,41,1,1008
bristol,US,41.83,-71.17,4.7,60.98,67,1,1003
ribeira grande,PT,38.52,-28.7,25.59,60.22,76,82,1000
qaanaaq,GL,77.48,-69.36,4.14,19.45,89,100,997
talnakh,RU,69.49,88.4,24.61,15.8,92,100,1007
mataura,NZ,-46.19,168.86,7.18,46.96,92,100,996
bow island,CA,49.87,-111.37,17.22,59.2,23,75,1010
cape town,ZA,-33.93,18.42,3.36,54.18,93,20,1021
tambopata,PE,-12.73,-69.18,1.81,74.8,81,100,1012
minsk,BY,53.9,27.57,8.95,50.0,76,64,1011
hermanus,ZA,-34.42,19.23,11.05,55.99,82,65,1020
port hardy,CA,50.7,-127.42,11.41,55.4,54,75,1022
thompson,CA,55.74,-97.86,6.93,41.0,38,75,1023
salinopolis,BR,-0.61,-47.36,8.55,80.2,86,99,1012
parati,BR,-23.22,-44.71,2.77,65.79,76,50,1020
vega de alatorre,MX,20.03,-96.63,5.5,80.49,81,0,1013
upernavik,GL,72.79,-56.15,5.97,18.23,94,100,1000
komsomolskiy,UZ,40.43,71.72,9.17,60.8,55,0,1014
pisco,PE,-13.7,-76.22,14.99,67.57,77,4,1012
chokwe,MZ,-24.53,32.98,3.2,65.21,81,0,1020
san quintin,MX,30.48,-115.95,18.16,67.73,70,0,1013
barra do corda,BR,-5.5,-45.25,1.9,75.69,88,66,1012
saint george,US,37.1,-113.58,24.16,83.75,10,1,1011
toyooka,JP,35.53,134.83,9.17,71.6,73,20,1006
puerto carreno,CO,6.19,-67.49,6.93,82.4,78,100,1010
ushtobe,KZ,45.25,77.98,7.27,60.44,58,0,1016
khasan,RU,42.43,130.64,22.39,51.3,59,47,1009
dharmadam,IN,11.78,75.43,3.4,80.56,86,53,1010
san severino marche,IT,43.23,13.18,2.51,49.68,55,0,1021
port alfred,ZA,-33.59,26.89,13.58,59.0,98,100,1024
ponta do sol,PT,32.67,-17.1,14.99,61.21,77,40,1011
esperance,AU,-33.87,121.9,20.8,64.4,34,72,1016
yellowknife,CA,62.46,-114.35,2.24,47.12,57,75,1018
